,kenteken,voertuigsoort,merk,handelsbenaming,vervaldatum_apk,datum_tenaamstelling,bruto_bpm,inrichting,aantal_zitplaatsen,eerste_kleur,tweede_kleur,aantal_cilinders,cilinderinhoud,massa_ledig_voertuig,toegestane_maximum_massa_voertuig,massa_rijklaar,datum_eerste_toelating,datum_eerste_tenaamstelling_in_nederland,wacht_op_keuren,catalogusprijs,wam_verzekerd,aantal_deuren,aantal_wielen,afstand_hart_koppeling_tot_achterzijde_voertuig,afstand_voorzijde_voertuig_tot_hart_koppeling,lengte,breedte,europese_voertuigcategorie,plaats_chassisnummer,technische_max_massa_voertuig,type,typegoedkeuringsnummer,variant,uitvoering,volgnummer_wijziging_eu_typegoedkeuring,vermogen_massarijklaar,wielbasis,export_indicator,openstaande_terugroepactie_indicator,taxi_indicator,maximum_massa_samenstelling,aantal_rolstoelplaatsen,jaar_laatste_registratie_tellerstand,tellerstandoordeel,code_toelichting_tellerstandoordeel,tenaamstellen_mogelijk,vervaldatum_apk_dt,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,zuinigheidsclassificatie,api_gekentekende_voertuigen_assen,api_gekentekende_voertuigen_brandstof,api_gekentekende_voertuigen_carrosserie,api_gekentekende_voertuigen_carrosserie_specifiek,api_gekentekende_voertuigen_voertuigklasse,maximum_ondersteunende_snelheid,maximum_massa_trekken_ongeremd,maximum_trekken_massa_geremd,registratie_datum_goedkeuring_afschrijvingsmoment_bpm,registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt,maximum_last_onder_de_vooras_sen_tezamen_koppeling,laadvermogen,aanhangwagen_autonoom_geremd,aanhangwagen_middenas_geremd,maximale_constructiesnelheid,hoogte_voertuig,type_gasinstallatie,oplegger_geremd,vervaldatum_tachograaf,vervaldatum_tachograaf_dt,europese_voertuigcategorie_toevoeging,europese_uitvoeringcategorie_toevoeging,aerodyn_voorz,massa_alt_aandr,verl_cab_ind,verticale_belasting_koppelpunt_getrokken_voertuig,gem_lading_wrde
545,F993SZ,Bromfiets,SYM,XS50QT,,20240731,,N.v.t.,2,N.v.t.,N.v.t.,1,50,95,249,99,20140524,20140524,Geen verstrekking in Open Data,,Ja,0,2,0,0,0,0,L1,r. frame onder balhoofd,249,XS50QT,e4*2002/24*1995*02,AE05W,2B,0,0.02,131,Nee,Nee,Nee,0,0,,Niet geregistreerd,NG,Ja,,2024-07-31T00:00:00.000,2014-05-24T00:00:00.000,2014-05-24T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,,,20221104,2022-11-04T00:00:00.000,,,,,25,,,,,,e,e,,,,,
546,7ZKX52,Personenauto,FORD,KA,20250623,20170612,635,MPV,4,GRIJS,Niet geregistreerd,4,1242,840,1320,940,20110607,20150110,Geen verstrekking in Open Data,10995,Ja,2,4,0,0,362,0,M1,r. kofferruimte,1320,RU8,e3*2001/116*0280*07,ABAA1U,4AAAHA,0,0.05,230,Nee,Nee,Nee,0,0,2024,Geen oordeel,05,Ja,2025-06-23T00:00:00.000,2017-06-12T00:00:00.000,2011-06-07T00:00:00.000,2015-01-10T00:00:00.000,B,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,,,,,0,,,,,,,,,,,,,,,,
547,7ZKX54,Personenauto,RENAULT,CAPTUR,20250613,20180615,514,hatchback,5,WIT,Niet geregistreerd,4,1461,1145,1729,1245,20140829,20150515,Geen verstrekking in Open Data,22980,Ja,4,4,0,0,412,0,M1,r. in kofferruimte by reservewiel,1729,R,e2*2001/116*0327*62,2RFL,2RFL1H,0,0.05,261,Nee,Nee,Nee,2629,0,2024,Geen oordeel,05,Ja,2025-06-13T00:00:00.000,2018-06-15T00:00:00.000,2014-08-29T00:00:00.000,2015-05-15T00:00:00.000,C,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0.00,620,1200,,,0,,,,,,,,,,,,,,,,
548,7ZKX55,Personenauto,OPEL,CORSA,20241130,20211224,520,MPV,5,GRIJS,Niet geregistreerd,4,1229,1063,1625,1163,20120216,20150408,Geen verstrekking in Open Data,17520,Ja,4,4,0,0,0,0,M1,op bodemplaat by r. voorzitting,1625,S-D,e1*2001/116*0379*20,KN11,1A06D5B2BDA5,0,0.05,251,Nee,Nee,Nee,2455,0,2023,Geen oordeel,05,Ja,2024-11-30T00:00:00.000,2021-12-24T00:00:00.000,2012-02-16T00:00:00.000,2015-04-08T00:00:00.000,B,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0.00,500,850,,,0,,,,,,,,,,,,,,,,
549,7ZKX56,Personenauto,SUBARU,SUBARU FORESTER,20250409,20210409,7504,stationwagen,5,GROEN,Niet geregistreerd,4,1994,1380,1880,1480,20060609,20150116,Geen verstrekking in Open Data,,Ja,4,4,0,0,449,0,M1,r. tegen schutbord onder motorkap,1880,,e1*2001/116*0209*08,SG5,530,0,0.08,253,Nee,Nee,Nee,3380,0,2024,Geen oordeel,05,Ja,2025-04-09T00:00:00.000,2021-04-09T00:00:00.000,2006-06-09T00:00:00.000,2015-01-16T00:00:00.000,F,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,725,1500,,,0,,,,,,,,,,,,,,,,
550,7ZKX57,Personenauto,VOLKSWAGEN,GOLF,20250506,20170724,2012,stationwagen,5,ZWART,Niet geregistreerd,4,1984,1324,1880,1424,20140806,20150110,Geen verstrekking in Open Data,43912,Ja,5,4,0,0,0,0,M1,r. motorruimte,1880,AU,e1*2007/46*0623*11,GAC4CHHAX0,FD6FD6D9005S7MMON1ML00VR2,0,0.12,263,Nee,Nee,Nee,3535,0,2024,Geen oordeel,05,Ja,2025-05-06T00:00:00.000,2017-07-24T00:00:00.000,2014-08-06T00:00:00.000,2015-01-10T00:00:00.000,D,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,710,1600,,,0,,,,,,,,,,,,,,,,
551,7ZKX58,Personenauto,OPEL,ZAFIRA-A,20250108,20240111,6629,MPV,7,GRIJS,Niet geregistreerd,4,2198,1385,2030,1485,20030930,20150108,Geen verstrekking in Open Data,,Ja,4,4,,,,,M1,r. bodemplaat by voorzitting,2030,,,,,,0.07,271,Nee,Nee,Nee,,,2024,Geen oordeel,05,Ja,2025-01-08T00:00:00.000,2024-01-11T00:00:00.000,2003-09-30T00:00:00.000,2015-01-08T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,600,1400,,,0,,,,,,,,,,,,,,,,
552,F995GT,Bromfiets,PIAGGIO,C38,,20240717,,N.v.t.,2,N.v.t.,N.v.t.,1,50,102,290,113,20120306,20120306,Geen verstrekking in Open Data,,Ja,0,2,0,0,0,0,L1,r. frame onder zadel,290,,e3*2002/24*0565*01,9,00,0,0.02,129,Nee,Nee,Nee,0,,,Niet geregistreerd,NG,Ja,,2024-07-17T00:00:00.000,2012-03-06T00:00:00.000,2012-03-06T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,,,,,,,,,25,,,,,,e,e,,,,,
553,7ZKX61,Personenauto,VOLKSWAGEN,TIGUAN,20250608,20170112,10431,stationwagen,5,ZWART,Niet geregistreerd,4,1968,1443,2080,1543,20120901,20150107,Geen verstrekking in Open Data,48541,Ja,4,4,0,0,0,0,M1,r. by voorwielscherm onder motorkap,2080,5N,e1*2001/116*0450*13,ACCFFDX0,FM6FM6BB002NDSTVR27MQO,0,0.05,261,Nee,Nee,Nee,3935,0,2024,Geen oordeel,05,Ja,2025-06-08T00:00:00.000,2017-01-12T00:00:00.000,2012-09-01T00:00:00.000,2015-01-07T00:00:00.000,D,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0.00,750,1800,,,0,,,,,,,,,,,,,,,,
554,7ZKX63,Personenauto,BMW,1ER REIHE,20241228,20240201,6039,hatchback,5,ZWART,Niet geregistreerd,4,1596,1180,1705,1280,20051024,20150110,Geen verstrekking in Open Data,,Ja,4,4,0,0,423,0,M1,op r. schroefveerkoker onder motorkap,1705,,e1*2001/116*0287*05,UF11,01,0,0.07,266,Nee,Nee,Nee,2980,0,2024,Geen oordeel,05,Ja,2024-12-28T00:00:00.000,2024-02-01T00:00:00.000,2005-10-24T00:00:00.000,2015-01-10T00:00:00.000,D,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,635,1200,,,0,,,,,,,,,,,,,,,,
